00AR               20211111                                                                                   
0601ARA0N       20220101001880100000005000 0000000030002051   
0601ARA0N       20220101001885100000005000 0000000030002053   
0601ARA0N       20220101001890100000005000 0000000030002055   
0601ARA0N       20220101001895100000005000 0000000030002058   
0601ARA0N       20220101001900100000005000 0000000030002060   
0601ARA0N       20220101001905100000005000 0000000030002062   
0601ARA0N       20220101001910100000005000 0000000030002065   
0601ARA0N       20220101001915100000005000 0000000030002068   
0601ARA0N       20220101001920100000005000 0000000030002070   
0601ARA0N       20220101001925100000005000 0000000030002073   
0601ARA0N       20220101001930100000005000 0000000030002075   
0601ARA0N       20220101001935100000005000 0000000030002077   
0601ARA0N       20220101001940100000005000 0000000030002080   
0601ARA0N       20220101001945100000005000 0000000030002082   
0601ARA0N       20220101001950100000005000 0000000030002084   
0601ARA0N       20220101001955100000005000 0000000030002086   
0601ARA0N       20220101001960100000005000 0000000030002089   
0601ARA0N       20220101001965100000005000 0000000030002091   
0601ARA0N       20220101001970100000005000 0000000030002093   
0601ARA0N       20220101001975100000005000 0000000030002096   
0601ARA0N       20220101001980100000005000 0000000030002098   
0601ARA0N       20220101001985100000005000 0000000030002100   
0601ARA0N       20220101001990100000005000 0000000030002103   
0601ARA0N       20220101001995100000005000 0000000030002105   
0601ARA0N       20220101002000100000005000 0000000030002107   
0601ARA0N       20220101002005100000005000 0000000030002110   
0601ARA0N       20220101002010100000005000 0000000030002112   
0601ARA0N       20220101002015100000005000 0000000030002114   
0601ARA0N       20220101002020100000005000 0000000030002117   
0601ARA0N       20220101002025100000005000 0000000030002118   
0601ARA0N       20220101002030100000005000 0000000030002120   
0601ARA0N       20220101002035100000005000 0000000030002123   
0601ARA0N       20220101002040100000005000 0000000030002125   
0601ARA0N       20220101002045100000005000 0000000030002127   
0601ARA0N       20220101002050100000005000 0000000030002129   
0601ARA0N       20220101002055100000005000 0000000030002131   
0601ARA0N       20220101002060100000005000 0000000030002133   
0601ARA0N       20220101002065100000005000 0000000030002136   
0601ARA0N       20220101002070100000005000 0000000030002138   
0601ARA0N       20220101002075100000005000 0000000030002139   
0601ARA0N       20220101002080100000005000 0000000030002142   
0601ARA0N       20220101002085100000005000 0000000030002144   
0601ARA0N       20220101002090100000005000 0000000030002146   
0601ARA0N       20220101002095100000005000 0000000030002148   
0601ARA0N       20220101002100100000005000 0000000030002150   
0601ARA0N       20220101002105100000005000 0000000030002152   
0601ARA0N       20220101002110100000005000 0000000030002154   
0601ARA0N       20220101002115100000005000 0000000030002156   
0601ARA0N       20220101002120100000005000 0000000030002158   
0601ARA0N       20220101002125100000005000 0000000030002160   
0601ARA0N       20220101002130100000005000 0000000030002162   
0601ARA0N       20220101002135100000005000 0000000030002164   
0601ARA0N       20220101002140100000005000 0000000030002165   
0601ARA0N       20220101002145100000005000 0000000030002168   
0601ARA0N       20220101002150100000005000 0000000030002170   
0601ARA0N       20220101002155100000005000 0000000030002171   
0601ARA0N       20220101002160100000005000 0000000030002174   
0601ARA0N       20220101002165100000005000 0000000030002176   
0601ARA0N       20220101002170100000005000 0000000030002177   
0601ARA0N       20220101002175100000005000 0000000030002180   
0601ARA0N       20220101002180100000005000 0000000030002181   
0601ARA0N       20220101002185100000005000 0000000030002183   
0601ARA0N       20220101002190100000005000 0000000030002185   
0601ARA0N       20220101002195100000005000 0000000030002187   
0601ARA0N       20220101002200100000005000 0000000030002189   
0601ARA0N       20220101002205100000005000 0000000030002191   
0601ARA0N       20220101002210100000005000 0000000030002193   
0601ARA0N       20220101002215100000005000 0000000030002194   
0601ARA0N       20220101002220100000005000 0000000030002196   
0601ARA0N       20220101002225100000005000 0000000030002198   
0601ARA0N       20220101002230100000005000 0000000030002200   
0601ARA0N       20220101002235100000005000 0000000030002202   
0601ARA0N       20220101002240100000005000 0000000030002204   
0601ARA0N       20220101002245100000005000 0000000030002205   
0601ARA0N       20220101002250100000005000 0000000030002207   
0601ARA0N       20220101002255100000005000 0000000030002209   
0601ARA0N       20220101002260100000005000 0000000030002210   
0601ARA0N       20220101002265100000005000 0000000030002212   
0601ARA0N       20220101002270100000005000 0000000030002214   
0601ARA0N       20220101002275100000005000 0000000030002216   
0601ARA0N       20220101002280100000005000 0000000030002218   
0601ARA0N       20220101002285100000005000 0000000030002219   
0601ARA0N       20220101002290100000005000 0000000030002221   
0601ARA0N       20220101002295100000005000 0000000030002222   
0601ARA0N       20220101002300100000005000 0000000030002225   
0601ARA0N       20220101002305100000005000 0000000030002226   
0601ARA0N       20220101002310100000005000 0000000030002227   
0601ARA0N       20220101002315100000005000 0000000030002230   
0601ARA0N       20220101002320100000005000 0000000030002231   
0601ARA0N       20220101002325100000005000 0000000030002232   
0601ARA0N       20220101002330100000005000 0000000030002235   
0601ARA0N       20220101002335100000005000 0000000030002236   
0601ARA0N       20220101002340100000005000 0000000030002237   
0601ARA0N       20220101002345100000005000 0000000030002239   
0601ARA0N       20220101002350100000005000 0000000030002241   
0601ARA0N       20220101002355100000005000 0000000030002242   
0601ARA0N       20220101002360100000005000 0000000030002244   
0601ARA0N       20220101002365100000005000 0000000030002246   
0601ARA0N       20220101002370100000005000 0000000030002247   
0601ARA0N       20220101002375100000005000 0000000030002249   
0601ARA0N       20220101002380100000005000 0000000030002251   
0601ARA0N       20220101002385100000005000 0000000030002252   
0601ARA0N       20220101002390100000005000 0000000030002254   
0601ARA0N       20220101002395100000005000 0000000030002255   
0601ARA0N       20220101002400100000005000 0000000030002257   
0601ARA0N       20220101002405100000005000 0000000030002259   
0601ARA0N       20220101002410100000005000 0000000030002260   
0601ARA0N       20220101002415100000005000 0000000030002261   
0601ARA0N       20220101002420100000005000 0000000030002263   
0601ARA0N       20220101002425100000005000 0000000030002265   
0601ARA0N       20220101002430100000005000 0000000030002266   
0601ARA0N       20220101002435100000005000 0000000030002268   
0601ARA0N       20220101002440100000005000 0000000030002269   
0601ARA0N       20220101002445100000005000 0000000030002271   
0601ARA0N       20220101002450100000005000 0000000030002272   
0601ARA0N       20220101002455100000005000 0000000030002274   
0601ARA0N       20220101002460100000005000 0000000030002274   
0601ARA0N       20220101002465100000005000 0000000030002275   
0601ARA0N       20220101002470100000005000 0000000030002277   
0601ARA0N       20220101002475100000005000 0000000030002278   
0601ARA0N       20220101002480100000005000 0000000030002278   
0601ARA0N       20220101002485100000005000 0000000030002280   
0601ARA0N       20220101002490100000005000 0000000030002281   
0601ARA0N       20220101002495100000005000 0000000030002282   
0601ARA0N       20220101002500100000500000 0000000030002331   
0601ARA0N       20220101003000100000500000 0000000030002406   
0601ARA0N       20220101003500100000500000 0000000030002460   
0601ARA0N       20220101004000100000500000 0000000030002502   
0601ARA0N       20220101004500100000500000 0000000030002535   
0601ARA1N       20220101000000100000115000 0100000030000026   
0601ARA1N       20220101000115100000005000 0100000030000026   
0601ARA1N       20220101000120100000005000 0100000030000024   
0601ARA1N       20220101000125100000005000 0100000030000024   
0601ARA1N       20220101000130100000005000 0100000030000023   
0601ARA1N       20220101000135100000005000 0100000030000022   
0601ARA1N       20220101000140100000005000 0100000030000021   
0601ARA1N       20220101000145100000005000 0100000030000020   
0601ARA1N       20220101000150100000005000 0100000030000020   
0601ARA1N       20220101000155100000005000 0100000030000019   
0601ARA1N       20220101000160100000005000 0100000030000018   
0601ARA1N       20220101000165100000005000 0100000030000018   
0601ARA1N       20220101000170100000005000 0100000030000017   
0601ARA1N       20220101000175100000005000 0100000030000017   
0601ARA1N       20220101000180100000005000 0100000030000016   
0601ARA1N       20220101000185100000005000 0100000030000016   
0601ARA1N       20220101000190100000005000 0100000030000016   
0601ARA1N       20220101000195100000005000 0100000030000015   
0601ARA1N       20220101000200100000005000 0100000030000015   
0601ARA1N       20220101000205100000005000 0100000030000014   
0601ARA1N       20220101000210100000005000 0100000030000017   
0601ARA1N       20220101000215100000005000 0100000030000026   
0601ARA1N       20220101000220100000005000 0100000030000039   
0601ARA1N       20220101000225100000005000 0100000030000052   
0601ARA1N       20220101000230100000005000 0100000030000064   
0601ARA1N       20220101000235100000005000 0100000030000082   
0601ARA1N       20220101000240100000005000 0100000030000100   
0601ARA1N       20220101000245100000005000 0100000030000116   
