00GE               20211117                                                                                   
0601GEA0N       20220101001540005000005000 0000000000002320   
0601GEA0N       20220101001545005000005000 0000000000002324   
0601GEA0N       20220101001550005000005000 0000000000002327   
0601GEA0N       20220101001555005000005000 0000000000002331   
0601GEA0N       20220101001560005000005000 0000000000002335   
0601GEA0N       20220101001565005000005000 0000000000002338   
0601GEA0N       20220101001570005000005000 0000000000002342   
0601GEA0N       20220101001575005000005000 0000000000002345   
0601GEA0N       20220101001580005000005000 0000000000002349   
0601GEA0N       20220101001585005000005000 0000000000002352   
0601GEA0N       20220101001590005000005000 0000000000002356   
0601GEA0N       20220101001595005000005000 0000000000002359   
0601GEA0N       20220101001600005000005000 0000000000002363   
0601GEA0N       20220101001605005000005000 0000000000002366   
0601GEA0N       20220101001610005000005000 0000000000002369   
0601GEA0N       20220101001615005000005000 0000000000002373   
0601GEA0N       20220101001620005000005000 0000000000002376   
0601GEA0N       20220101001625005000005000 0000000000002380   
0601GEA0N       20220101001630005000005000 0000000000002383   
0601GEA0N       20220101001635005000005000 0000000000002387   
0601GEA0N       20220101001640005000005000 0000000000002390   
0601GEA0N       20220101001645005000005000 0000000000002394   
0601GEA0N       20220101001650005000005000 0000000000002397   
0601GEA0N       20220101001655005000005000 0000000000002400   
0601GEA0N       20220101001660005000005000 0000000000002404   
0601GEA0N       20220101001665005000005000 0000000000002407   
0601GEA0N       20220101001670005000005000 0000000000002411   
0601GEA0N       20220101001675005000005000 0000000000002414   
0601GEA0N       20220101001680005000005000 0000000000002417   
0601GEA0N       20220101001685005000005000 0000000000002420   
0601GEA0N       20220101001690005000005000 0000000000002424   
0601GEA0N       20220101001695005000005000 0000000000002427   
0601GEA0N       20220101001700005000005000 0000000000002430   
0601GEA0N       20220101001705005000005000 0000000000002433   
0601GEA0N       20220101001710005000005000 0000000000002437   
0601GEA0N       20220101001715005000005000 0000000000002440   
0601GEA0N       20220101001720005000005000 0000000000002443   
0601GEA0N       20220101001725005000005000 0000000000002446   
0601GEA0N       20220101001730005000005000 0000000000002449   
0601GEA0N       20220101001735005000005000 0000000000002452   
0601GEA0N       20220101001740005000005000 0000000000002456   
0601GEA0N       20220101001745005000005000 0000000000002459   
0601GEA0N       20220101001750005000005000 0000000000002461   
0601GEA0N       20220101001755005000005000 0000000000002465   
0601GEA0N       20220101001760005000005000 0000000000002468   
0601GEA0N       20220101001765005000005000 0000000000002470   
0601GEA0N       20220101001770005000005000 0000000000002474   
0601GEA0N       20220101001775005000005000 0000000000002478   
0601GEA0N       20220101001780005000005000 0000000000002481   
0601GEA0N       20220101001785005000005000 0000000000002484   
0601GEA0N       20220101001790005000005000 0000000000002488   
0601GEA0N       20220101001795005000005000 0000000000002491   
0601GEA0N       20220101001800005000005000 0000000000002495   
0601GEA0N       20220101001805005000005000 0000000000002498   
0601GEA0N       20220101001810005000005000 0000000000002502   
0601GEA0N       20220101001815005000005000 0000000000002505   
0601GEA0N       20220101001820005000005000 0000000000002509   
0601GEA0N       20220101001825005000005000 0000000000002512   
0601GEA0N       20220101001830005000005000 0000000000002515   
0601GEA0N       20220101001835005000005000 0000000000002519   
0601GEA0N       20220101001840005000005000 0000000000002523   
0601GEA0N       20220101001845005000005000 0000000000002526   
0601GEA0N       20220101001850005000005000 0000000000002530   
0601GEA0N       20220101001855005000005000 0000000000002533   
0601GEA0N       20220101001860005000005000 0000000000002536   
