00OW               20211111                                                                                   
0601OWA0N       20220101001295100000005000 0000000030001389   
0601OWA0N       20220101001300100000005000 0000000030001391   
0601OWA0N       20220101001305100000005000 0000000030001393   
0601OWA0N       20220101001310100000005000 0000000030001397   
0601OWA0N       20220101001315100000005000 0000000030001399   
0601OWA0N       20220101001320100000005000 0000000030001400   
0601OWA0N       20220101001325100000005000 0000000030001404   
0601OWA0N       20220101001330100000005000 0000000030001406   
0601OWA0N       20220101001335100000005000 0000000030001408   
0601OWA0N       20220101001340100000005000 0000000030001411   
0601OWA0N       20220101001345100000005000 0000000030001413   
0601OWA0N       20220101001350100000005000 0000000030001415   
0601OWA0N       20220101001355100000005000 0000000030001418   
0601OWA0N       20220101001360100000005000 0000000030001420   
0601OWA0N       20220101001365100000005000 0000000030001422   
0601OWA0N       20220101001370100000005000 0000000030001425   
0601OWA0N       20220101001375100000005000 0000000030001426   
0601OWA0N       20220101001380100000005000 0000000030001429   
0601OWA0N       20220101001385100000005000 0000000030001433   
0601OWA0N       20220101001390100000005000 0000000030001436   
0601OWA0N       20220101001395100000005000 0000000030001438   
0601OWA0N       20220101001400100000005000 0000000030001442   
0601OWA0N       20220101001405100000005000 0000000030001444   
0601OWA0N       20220101001410100000005000 0000000030001446   
0601OWA0N       20220101001415100000005000 0000000030001450   
0601OWA0N       20220101001420100000005000 0000000030001452   
0601OWA0N       20220101001425100000005000 0000000030001455   
0601OWA0N       20220101001430100000005000 0000000030001458   
0601OWA0N       20220101001435100000005000 0000000030001461   
0601OWA0N       20220101001440100000005000 0000000030001463   
0601OWA0N       20220101001445100000005000 0000000030001467   
0601OWA0N       20220101001450100000005000 0000000030001469   
0601OWA0N       20220101001455100000005000 0000000030001471   
0601OWA0N       20220101001460100000005000 0000000030001473   
0601OWA0N       20220101001465100000005000 0000000030001477   
0601OWA0N       20220101001470100000005000 0000000030001479   
0601OWA0N       20220101001475100000005000 0000000030001481   
0601OWA0N       20220101001480100000005000 0000000030001485   
0601OWA0N       20220101001485100000005000 0000000030001486   
0601OWA0N       20220101001490100000005000 0000000030001489   
0601OWA0N       20220101001495100000005000 0000000030001492   
0601OWA0N       20220101001500100000500000 0000000030001599   
0601OWA0N       20220101002000100000500000 0000000030001783   
0601OWA0N       20220101002500100000500000 0000000030001901   
0601OWA0N       20220101003000100000500000 0000000030001982   
0601OWA0N       20220101003500100000500000 0000000030002042   
0601OWA0N       20220101004000100000500000 0000000030002088   
0601OWA0N       20220101004500100000500000 0000000030002125   
0601OWA0N       20220101005000100000500000 0000000030002154   
0601OWA0N       20220101005500100000500000 0000000030002178   
0601OWA0N       20220101006000100000500000 0000000030002198   
0601OWA0N       20220101006500100000500000 0000000030002216   
0601OWA0N       20220101007000100000500000 0000000030002230   
0601OWA0N       20220101007500100000500000 0000000030002233   
0601OWA0N       20220101008000100000500000 0000000030002236   
0601OWA0N       20220101008500100000500000 0000000030002239   
0601OWA0N       20220101009000100000500000 0000000030002241   
0601OWA0N       20220101009500100000500000 0000000030002243   
0601OWA0N       20220101010000100000500000 0000000030002245   
0601OWA0N       20220101010500100000500000 0000000030002247   
0601OWA0N       20220101011000100000500000 0000000030002248   
0601OWA0N       20220101011500100000500000 0000000030002249   
0601OWA0N       20220101012000100000500000 0000000030002251   
0601OWA0N       20220101012500100000500000 0000000030002252   
0601OWA0N       20220101013000100000500000 0000000030002253   
0601OWA0N       20220101013500100000500000 0000000030002254   
0601OWA0N       20220101014000100000500000 0000000030002255   
0601OWA0N       20220101014500100000500000 0000000030002256   
0601OWA0N       20220101015000100000500000 0000000030002257   
0601OWA0N       20220101015500100000500000 0000000030002258   
0601OWA0N       20220101016000100000500000 0000000030002258   
0601OWA0N       20220101016500100000500000 0000000030002259   
0601OWA0N       20220101017000100000500000 0000000030002260   
0601OWA0N       20220101017500100000500000 0000000030002260   
0601OWA0N       20220101018000100000500000 0000000030002261   
0601OWA0N       20220101018500100000500000 0000000030002261   
0601OWA0N       20220101019000100000500000 0000000030002262   
0601OWA0N       20220101019500100000500000 0000000030002262   
0601OWA1N       20220101000000100000040000 0100000030000000   
0601OWA1N       20220101000040100000005000 0100000030000071   
0601OWA1N       20220101000045100000005000 0100000030000063   
0601OWA1N       20220101000050100000005000 0100000030000057   
0601OWA1N       20220101000055100000005000 0100000030000052   
0601OWA1N       20220101000060100000005000 0100000030000048   
0601OWA1N       20220101000065100000005000 0100000030000044   
0601OWA1N       20220101000070100000005000 0100000030000041   
0601OWA1N       20220101000075100000005000 0100000030000039   
0601OWA1N       20220101000080100000005000 0100000030000036   
0601OWA1N       20220101000085100000005000 0100000030000034   
0601OWA1N       20220101000090100000005000 0100000030000032   
0601OWA1N       20220101000095100000005000 0100000030000031   
0601OWA1N       20220101000100100000005000 0100000030000029   
0601OWA1N       20220101000105100000005000 0100000030000028   
0601OWA1N       20220101000110100000005000 0100000030000027   
0601OWA1N       20220101000115100000005000 0100000030000026   
0601OWA1N       20220101000120100000005000 0100000030000024   
0601OWA1N       20220101000125100000005000 0100000030000024   
0601OWA1N       20220101000130100000005000 0100000030000023   
0601OWA1N       20220101000135100000005000 0100000030000022   
0601OWA1N       20220101000140100000005000 0100000030000021   
0601OWA1N       20220101000145100000005000 0100000030000020   
0601OWA1N       20220101000150100000005000 0100000030000020   
0601OWA1N       20220101000155100000005000 0100000030000019   
0601OWA1N       20220101000160100000005000 0100000030000018   
0601OWA1N       20220101000165100000005000 0100000030000018   
0601OWA1N       20220101000170100000005000 0100000030000017   
0601OWA1N       20220101000175100000005000 0100000030000017   
0601OWA1N       20220101000180100000005000 0100000030000016   
0601OWA1N       20220101000185100000005000 0100000030000016   
0601OWA1N       20220101000190100000005000 0100000030000016   
0601OWA1N       20220101000195100000005000 0100000030000015   
0601OWA1N       20220101000200100000005000 0100000030000015   
0601OWA1N       20220101000205100000005000 0100000030000014   
0601OWA1N       20220101000210100000005000 0100000030000014   
0601OWA1N       20220101000215100000005000 0100000030000014   
0601OWA1N       20220101000220100000005000 0100000030000013   
0601OWA1N       20220101000225100000005000 0100000030000013   
0601OWA1N       20220101000230100000005000 0100000030000013   
0601OWA1N       20220101000235100000005000 0100000030000013   
0601OWA1N       20220101000240100000005000 0100000030000012   
0601OWA1N       20220101000245100000005000 0100000030000012   
0601OWA1N       20220101000250100000005000 0100000030000012   
0601OWA1N       20220101000255100000005000 0100000030000012   
0601OWA1N       20220101000260100000005000 0100000030000011   
0601OWA1N       20220101000265100000005000 0100000030000011   
0601OWA1N       20220101000270100000005000 0100000030000033   
0601OWA1N       20220101000275100000005000 0100000030000054   
0601OWA1N       20220101000280100000005000 0100000030000078   
0601OWA1N       20220101000285100000005000 0100000030000097   
0601OWA1N       20220101000290100000005000 0100000030000116   
0601OWA1N       20220101000295100000005000 0100000030000141   
0601OWA1N       20220101000300100000005000 0100000030000159   
0601OWA1N       20220101000305100000005000 0100000030000176   
0601OWA1N       20220101000310100000005000 0100000030000198   
0601OWA1N       20220101000315100000005000 0100000030000214   
0601OWA1N       20220101000320100000005000 0100000030000229   
0601OWA1N       20220101000325100000005000 0100000030000244   
0601OWA1N       20220101000330100000005000 0100000030000262   
0601OWA1N       20220101000335100000005000 0100000030000276   
0601OWA1N       20220101000340100000005000 0100000030000292   
0601OWA1N       20220101000345100000005000 0100000030000305   
0601OWA1N       20220101000350100000005000 0100000030000321   
0601OWA1N       20220101000355100000005000 0100000030000333   
0601OWA1N       20220101000360100000005000 0100000030000345   
0601OWA1N       20220101000365100000005000 0100000030000356   
0601OWA1N       20220101000370100000005000 0100000030000373   
0601OWA1N       20220101000375100000005000 0100000030000384   
0601OWA1N       20220101000380100000005000 0100000030000395   
0601OWA1N       20220101000385100000005000 0100000030000408   
0601OWA1N       20220101000390100000005000 0100000030000418   
0601OWA1N       20220101000395100000005000 0100000030000430   
0601OWA1N       20220101000400100000005000 0100000030000442   
0601OWA1N       20220101000405100000005000 0100000030000452   
0601OWA1N       20220101000410100000005000 0100000030000461   
0601OWA1N       20220101000415100000005000 0100000030000469   
0601OWA1N       20220101000420100000005000 0100000030000480   
0601OWA1N       20220101000425100000005000 0100000030000491   
0601OWA1N       20220101000430100000005000 0100000030000499   
0601OWA1N       20220101000435100000005000 0100000030000512   
0601OWA1N       20220101000440100000005000 0100000030000522   
0601OWA1N       20220101000445100000005000 0100000030000530   
0601OWA1N       20220101000450100000005000 0100000030000541   
0601OWA1N       20220101000455100000005000 0100000030000551   
0601OWA1N       20220101000460100000005000 0100000030000562   
0601OWA1N       20220101000465100000005000 0100000030000569   
0601OWA1N       20220101000470100000005000 0100000030000580   
0601OWA1N       20220101000475100000005000 0100000030000588   
0601OWA1N       20220101000480100000005000 0100000030000599   
0601OWA1N       20220101000485100000005000 0100000030000605   
0601OWA1N       20220101000490100000005000 0100000030000613   
0601OWA1N       20220101000495100000005000 0100000030000623   
0601OWA1N       20220101000500100000005000 0100000030000631   
0601OWA1N       20220101000505100000005000 0100000030000638   
0601OWA1N       20220101000510100000005000 0100000030000646   
0601OWA1N       20220101000515100000005000 0100000030000655   
0601OWA1N       20220101000520100000005000 0100000030000662   
0601OWA1N       20220101000525100000005000 0100000030000669   
0601OWA1N       20220101000530100000005000 0100000030000676   
0601OWA1N       20220101000535100000005000 0100000030000683   
0601OWA1N       20220101000540100000005000 0100000030000693   
0601OWA1N       20220101000545100000005000 0100000030000700   
0601OWA1N       20220101000550100000005000 0100000030000708   
0601OWA1N       20220101000555100000005000 0100000030000716   
0601OWA1N       20220101000560100000005000 0100000030000724   
0601OWA1N       20220101000565100000005000 0100000030000730   
0601OWA1N       20220101000570100000005000 0100000030000739   
0601OWA1N       20220101000575100000005000 0100000030000745   
0601OWA1N       20220101000580100000005000 0100000030000750   
0601OWA1N       20220101000585100000005000 0100000030000757   
0601OWA1N       20220101000590100000005000 0100000030000763   
0601OWA1N       20220101000595100000005000 0100000030000768   
0601OWA1N       20220101000600100000005000 0100000030000773   
0601OWA1N       20220101000605100000005000 0100000030000779   
0601OWA1N       20220101000610100000005000 0100000030000785   
0601OWA1N       20220101000615100000005000 0100000030000790   
0601OWA1N       20220101000620100000005000 0100000030000795   
0601OWA1N       20220101000625100000005000 0100000030000802   
0601OWA1N       20220101000630100000005000 0100000030000808   
0601OWA1N       20220101000635100000005000 0100000030000813   
0601OWA1N       20220101000640100000005000 0100000030000817   
0601OWA1N       20220101000645100000005000 0100000030000822   
0601OWA1N       20220101000650100000005000 0100000030000826   
0601OWA1N       20220101000655100000005000 0100000030000832   
0601OWA1N       20220101000660100000005000 0100000030000836   
0601OWA1N       20220101000665100000005000 0100000030000840   
0601OWA1N       20220101000670100000005000 0100000030000845   
0601OWA1N       20220101000675100000005000 0100000030000850   
0601OWA1N       20220101000680100000005000 0100000030000856   
0601OWA1N       20220101000685100000005000 0100000030000860   
0601OWA1N       20220101000690100000005000 0100000030000864   
0601OWA1N       20220101000695100000005000 0100000030000869   
0601OWA1N       20220101000700100000005000 0100000030000873   
0601OWA1N       20220101000705100000005000 0100000030000878   
0601OWA1N       20220101000710100000005000 0100000030000881   
0601OWA1N       20220101000715100000005000 0100000030000885   
0601OWA1N       20220101000720100000005000 0100000030000890   
0601OWA1N       20220101000725100000005000 0100000030000895   
0601OWA1N       20220101000730100000005000 0100000030000898   
0601OWA1N       20220101000735100000005000 0100000030000902   
0601OWA1N       20220101000740100000005000 0100000030000906   
0601OWA1N       20220101000745100000005000 0100000030000910   
0601OWA1N       20220101000750100000005000 0100000030000914   
0601OWA1N       20220101000755100000005000 0100000030000917   
0601OWA1N       20220101000760100000005000 0100000030000921   
0601OWA1N       20220101000765100000005000 0100000030000925   
0601OWA1N       20220101000770100000005000 0100000030000928   
0601OWA1N       20220101000775100000005000 0100000030000932   
0601OWA1N       20220101000780100000005000 0100000030000935   
0601OWA1N       20220101000785100000005000 0100000030000940   
0601OWA1N       20220101000790100000005000 0100000030000943   
0601OWA1N       20220101000795100000005000 0100000030000945   
0601OWA1N       20220101000800100000005000 0100000030000950   
0601OWA1N       20220101000805100000005000 0100000030000952   
0601OWA1N       20220101000810100000005000 0100000030000956   
0601OWA1N       20220101000815100000005000 0100000030000960   
0601OWA1N       20220101000820100000005000 0100000030000963   
0601OWA1N       20220101000825100000005000 0100000030000966   
0601OWA1N       20220101000830100000005000 0100000030000969   
0601OWA1N       20220101000835100000005000 0100000030000972   
0601OWA1N       20220101000840100000005000 0100000030000976   
0601OWA1N       20220101000845100000005000 0100000030000978   
0601OWA1N       20220101000850100000005000 0100000030000984   
0601OWA1N       20220101000855100000005000 0100000030000988   
0601OWA1N       20220101000860100000005000 0100000030000992   
0601OWA1N       20220101000865100000005000 0100000030000996   
0601OWA1N       20220101000870100000005000 0100000030000999   
0601OWA1N       20220101000875100000005000 0100000030001005   
0601OWA1N       20220101000880100000005000 0100000030001008   
0601OWA1N       20220101000885100000005000 0100000030001013   
0601OWA1N       20220101000890100000005000 0100000030001016   
0601OWA1N       20220101000895100000005000 0100000030001022   
0601OWA1N       20220101000900100000005000 0100000030001025   
0601OWA1N       20220101000905100000005000 0100000030001029   
0601OWA1N       20220101000910100000005000 0100000030001033   
0601OWA1N       20220101000915100000005000 0100000030001037   
0601OWA1N       20220101000920100000005000 0100000030001042   
0601OWA1N       20220101000925100000005000 0100000030001046   
0601OWA1N       20220101000930100000005000 0100000030001050   
0601OWA1N       20220101000935100000005000 0100000030001054   
0601OWA1N       20220101000940100000005000 0100000030001059   
0601OWA1N       20220101000945100000005000 0100000030001062   
0601OWA1N       20220101000950100000005000 0100000030001066   
0601OWA1N       20220101000955100000005000 0100000030001069   
0601OWA1N       20220101000960100000005000 0100000030001073   
0601OWA1N       20220101000965100000005000 0100000030001077   
0601OWA1N       20220101000970100000005000 0100000030001081   
0601OWA1N       20220101000975100000005000 0100000030001083   
0601OWA1N       20220101000980100000005000 0100000030001087   
0601OWA1N       20220101000985100000005000 0100000030001092   
0601OWA1N       20220101000990100000005000 0100000030001095   
0601OWA1N       20220101000995100000005000 0100000030001098   
0601OWA1N       20220101001000100000005000 0100000030001101   
0601OWA1N       20220101001005100000005000 0100000030001106   
0601OWA1N       20220101001010100000005000 0100000030001109   
0601OWA1N       20220101001015100000005000 0100000030001112   
0601OWA1N       20220101001020100000005000 0100000030001115   
0601OWA1N       20220101001025100000005000 0100000030001118   
0601OWA1N       20220101001030100000005000 0100000030001122   
0601OWA1N       20220101001035100000005000 0100000030001126   
0601OWA1N       20220101001040100000005000 0100000030001128   
0601OWA1N       20220101001045100000005000 0100000030001131   
0601OWA1N       20220101001050100000005000 0100000030001135   
0601OWA1N       20220101001055100000005000 0100000030001139   
0601OWA1N       20220101001060100000005000 0100000030001141   
