00LU               20211201                                                                                   
0601LUA0N       20220101001195100000005000 0000000130001523   
0601LUA0N       20220101001200100000005000 0000000130001526   
0601LUA0N       20220101001205100000005000 0000000130001531   
0601LUA0N       20220101001210100000005000 0000000130001534   
0601LUA0N       20220101001215100000005000 0000000130001538   
0601LUA0N       20220101001220100000005000 0000000130001540   
0601LUA0N       20220101001225100000005000 0000000130001543   
0601LUA0N       20220101001230100000005000 0000000130001548   
0601LUA0N       20220101001235100000005000 0000000130001552   
0601LUA0N       20220101001240100000005000 0000000130001554   
0601LUA0N       20220101001245100000005000 0000000130001559   
0601LUA0N       20220101001250100000005000 0000000130001562   
0601LUA0N       20220101001255100000005000 0000000130001564   
0601LUA0N       20220101001260100000005000 0000000130001569   
0601LUA0N       20220101001265100000005000 0000000130001572   
0601LUA0N       20220101001270100000005000 0000000130001575   
0601LUA0N       20220101001275100000005000 0000000130001580   
0601LUA0N       20220101001280100000005000 0000000130001582   
0601LUA0N       20220101001285100000005000 0000000130001585   
0601LUA0N       20220101001290100000005000 0000000130001589   
0601LUA0N       20220101001295100000005000 0000000130001592   
0601LUA0N       20220101001300100000005000 0000000130001595   
0601LUA0N       20220101001305100000005000 0000000130001597   
0601LUA0N       20220101001310100000005000 0000000130001602   
0601LUA0N       20220101001315100000005000 0000000130001605   
0601LUA0N       20220101001320100000005000 0000000130001607   
0601LUA0N       20220101001325100000005000 0000000130001611   
0601LUA0N       20220101001330100000005000 0000000130001614   
0601LUA0N       20220101001335100000005000 0000000130001616   
0601LUA0N       20220101001340100000005000 0000000130001620   
0601LUA0N       20220101001345100000005000 0000000130001623   
0601LUA0N       20220101001350100000005000 0000000130001625   
0601LUA0N       20220101001355100000005000 0000000130001629   
0601LUA0N       20220101001360100000005000 0000000130001632   
0601LUA0N       20220101001365100000005000 0000000130001634   
0601LUA0N       20220101001370100000005000 0000000130001638   
0601LUA0N       20220101001375100000005000 0000000130001641   
0601LUA0N       20220101001380100000005000 0000000130001643   
0601LUA0N       20220101001385100000005000 0000000130001648   
0601LUA0N       20220101001390100000005000 0000000130001651   
0601LUA0N       20220101001395100000005000 0000000130001654   
0601LUA0N       20220101001400100000005000 0000000130001658   
0601LUA0N       20220101001405100000005000 0000000130001661   
0601LUA0N       20220101001410100000005000 0000000130001664   
0601LUA0N       20220101001415100000005000 0000000130001669   
0601LUA0N       20220101001420100000005000 0000000130001672   
0601LUA0N       20220101001425100000005000 0000000130001674   
0601LUA0N       20220101001430100000005000 0000000130001679   
0601LUA0N       20220101001435100000005000 0000000130001681   
0601LUA0N       20220101001440100000005000 0000000130001685   
0601LUA0N       20220101001445100000005000 0000000130001688   
0601LUA0N       20220101001450100000005000 0000000130001692   
0601LUA0N       20220101001455100000005000 0000000130001694   
0601LUA0N       20220101001460100000005000 0000000130001696   
0601LUA0N       20220101001465100000005000 0000000130001701   
0601LUA0N       20220101001470100000005000 0000000130001704   
0601LUA0N       20220101001475100000005000 0000000130001706   
0601LUA0N       20220101001480100000005000 0000000130001711   
0601LUA0N       20220101001485100000005000 0000000130001713   
0601LUA0N       20220101001490100000005000 0000000130001715   
0601LUA0N       20220101001495100000005000 0000000130001720   
0601LUA0N       20220101001500100000005000 0000000130001722   
0601LUA0N       20220101001505100000005000 0000000130001725   
0601LUA0N       20220101001510100000005000 0000000130001729   
0601LUA0N       20220101001515100000005000 0000000130001731   
0601LUA0N       20220101001520100000005000 0000000130001733   
0601LUA0N       20220101001525100000005000 0000000130001737   
0601LUA0N       20220101001530100000005000 0000000130001740   
0601LUA0N       20220101001535100000005000 0000000130001742   
0601LUA0N       20220101001540100000005000 0000000130001746   
0601LUA0N       20220101001545100000005000 0000000130001749   
0601LUA0N       20220101001550100000005000 0000000130001751   
0601LUA0N       20220101001555100000005000 0000000130001755   
0601LUA0N       20220101001560100000005000 0000000130001757   
0601LUA0N       20220101001565100000005000 0000000130001759   
0601LUA0N       20220101001570100000005000 0000000130001763   
0601LUA0N       20220101001575100000005000 0000000130001765   
0601LUA0N       20220101001580100000005000 0000000130001767   
0601LUA0N       20220101001585100000005000 0000000130001772   
0601LUA0N       20220101001590100000005000 0000000130001774   
0601LUA0N       20220101001595100000005000 0000000130001777   
0601LUA0N       20220101001600100000005000 0000000130001779   
0601LUA0N       20220101001605100000005000 0000000130001783   
0601LUA0N       20220101001610100000005000 0000000130001785   
0601LUA0N       20220101001615100000005000 0000000130001787   
0601LUA0N       20220101001620100000005000 0000000130001792   
0601LUA0N       20220101001625100000005000 0000000130001794   
0601LUA0N       20220101001630100000005000 0000000130001796   
0601LUA0N       20220101001635100000005000 0000000130001800   
0601LUA0N       20220101001640100000005000 0000000130001802   
0601LUA0N       20220101001645100000005000 0000000130001805   
0601LUA0N       20220101001650100000005000 0000000130001808   
0601LUA0N       20220101001655100000005000 0000000130001811   
0601LUA0N       20220101001660100000005000 0000000130001812   
0601LUA0N       20220101001665100000005000 0000000130001816   
0601LUA0N       20220101001670100000005000 0000000130001818   
0601LUA0N       20220101001675100000005000 0000000130001821   
0601LUA0N       20220101001680100000005000 0000000130001824   
0601LUA0N       20220101001685100000005000 0000000130001826   
0601LUA0N       20220101001690100000005000 0000000130001828   
0601LUA0N       20220101001695100000005000 0000000130001832   
0601LUA0N       20220101001700100000005000 0000000130001834   
0601LUA0N       20220101001705100000005000 0000000130001836   
0601LUA0N       20220101001710100000005000 0000000130001839   
0601LUA0N       20220101001715100000005000 0000000130001842   
0601LUA0N       20220101001720100000005000 0000000130001844   
0601LUA0N       20220101001725100000005000 0000000130001847   
0601LUA0N       20220101001730100000005000 0000000130001849   
0601LUA0N       20220101001735100000005000 0000000130001851   
0601LUA0N       20220101001740100000005000 0000000130001855   
0601LUA0N       20220101001745100000005000 0000000130001856   
0601LUA0N       20220101001750100000005000 0000000130001858   
0601LUA0N       20220101001755100000005000 0000000130001861   
0601LUA0N       20220101001760100000005000 0000000130001864   
0601LUA0N       20220101001765100000005000 0000000130001866   
0601LUA0N       20220101001770100000005000 0000000130001868   
0601LUA0N       20220101001775100000005000 0000000130001872   
0601LUA0N       20220101001780100000005000 0000000130001874   
0601LUA0N       20220101001785100000005000 0000000130001877   
0601LUA0N       20220101001790100000005000 0000000130001881   
0601LUA0N       20220101001795100000005000 0000000130001883   
0601LUA0N       20220101001800100000005000 0000000130001886   
0601LUA0N       20220101001805100000005000 0000000130001889   
0601LUA0N       20220101001810100000005000 0000000130001891   
0601LUA0N       20220101001815100000005000 0000000130001894   
0601LUA0N       20220101001820100000005000 0000000130001898   
0601LUA0N       20220101001825100000005000 0000000130001900   
0601LUA0N       20220101001830100000005000 0000000130001903   
0601LUA0N       20220101001835100000005000 0000000130001907   
0601LUA0N       20220101001840100000005000 0000000130001909   
0601LUA0N       20220101001845100000005000 0000000130001912   
0601LUA0N       20220101001850100000005000 0000000130001916   
0601LUA0N       20220101001855100000005000 0000000130001918   
0601LUA0N       20220101001860100000005000 0000000130001921   
0601LUA0N       20220101001865100000005000 0000000130001924   
0601LUA0N       20220101001870100000005000 0000000130001927   
0601LUA0N       20220101001875100000005000 0000000130001929   
0601LUA0N       20220101001880100000005000 0000000130001933   
0601LUA0N       20220101001885100000005000 0000000130001935   
0601LUA0N       20220101001890100000005000 0000000130001938   
0601LUA0N       20220101001895100000005000 0000000130001940   
0601LUA0N       20220101001900100000005000 0000000130001944   
0601LUA0N       20220101001905100000005000 0000000130001946   
0601LUA0N       20220101001910100000005000 0000000130001948   
0601LUA0N       20220101001915100000005000 0000000130001952   
0601LUA0N       20220101001920100000005000 0000000130001954   
0601LUA0N       20220101001925100000005000 0000000130001956   
0601LUA0N       20220101001930100000005000 0000000130001960   
0601LUA0N       20220101001935100000005000 0000000130001962   
0601LUA0N       20220101001940100000005000 0000000130001964   
0601LUA0N       20220101001945100000005000 0000000130001968   
0601LUA0N       20220101001950100000005000 0000000130001970   
0601LUA0N       20220101001955100000005000 0000000130001972   
0601LUA0N       20220101001960100000005000 0000000130001976   
0601LUA0N       20220101001965100000005000 0000000130001978   
0601LUA0N       20220101001970100000005000 0000000130001980   
0601LUA0N       20220101001975100000005000 0000000130001984   
0601LUA0N       20220101001980100000005000 0000000130001986   
0601LUA0N       20220101001985100000005000 0000000130001988   
0601LUA0N       20220101001990100000005000 0000000130001991   
0601LUA0N       20220101001995100000005000 0000000130001993   
0601LUA0N       20220101002000100000005000 0000000130001996   
0601LUA0N       20220101002005100000005000 0000000130001999   
0601LUA0N       20220101002010100000005000 0000000130002001   
0601LUA0N       20220101002015100000005000 0000000130002003   
0601LUA0N       20220101002020100000005000 0000000130002006   
0601LUA0N       20220101002025100000005000 0000000130002008   
0601LUA0N       20220101002030100000005000 0000000130002010   
0601LUA0N       20220101002035100000005000 0000000130002014   
0601LUA0N       20220101002040100000005000 0000000130002016   
0601LUA0N       20220101002045100000005000 0000000130002018   
0601LUA0N       20220101002050100000005000 0000000130002019   
0601LUA0N       20220101002055100000005000 0000000130002023   
0601LUA0N       20220101002060100000005000 0000000130002025   
0601LUA0N       20220101002065100000005000 0000000130002027   
0601LUA0N       20220101002070100000005000 0000000130002030   
0601LUA0N       20220101002075100000005000 0000000130002032   
0601LUA0N       20220101002080100000005000 0000000130002034   
0601LUA0N       20220101002085100000005000 0000000130002037   
0601LUA0N       20220101002090100000005000 0000000130002039   
0601LUA0N       20220101002095100000005000 0000000130002041   
0601LUA0N       20220101002100100000005000 0000000130002044   
0601LUA0N       20220101002105100000005000 0000000130002046   
0601LUA0N       20220101002110100000005000 0000000130002047   
0601LUA0N       20220101002115100000005000 0000000130002051   
0601LUA0N       20220101002120100000005000 0000000130002052   
0601LUA0N       20220101002125100000005000 0000000130002054   
0601LUA0N       20220101002130100000005000 0000000130002057   
0601LUA0N       20220101002135100000005000 0000000130002059   
0601LUA0N       20220101002140100000005000 0000000130002061   
0601LUA0N       20220101002145100000005000 0000000130002064   
0601LUA0N       20220101002150100000005000 0000000130002066   
0601LUA0N       20220101002155100000005000 0000000130002067   
0601LUA0N       20220101002160100000005000 0000000130002070   
0601LUA0N       20220101002165100000005000 0000000130002072   
0601LUA0N       20220101002170100000005000 0000000130002074   
0601LUA0N       20220101002175100000005000 0000000130002077   
0601LUA0N       20220101002180100000005000 0000000130002078   
0601LUA0N       20220101002185100000005000 0000000130002080   
0601LUA0N       20220101002190100000005000 0000000130002082   
0601LUA0N       20220101002195100000005000 0000000130002085   
0601LUA0N       20220101002200100000005000 0000000130002086   
0601LUA0N       20220101002205100000005000 0000000130002088   
0601LUA0N       20220101002210100000005000 0000000130002091   
0601LUA0N       20220101002215100000005000 0000000130002092   
0601LUA0N       20220101002220100000005000 0000000130002094   
0601LUA0N       20220101002225100000005000 0000000130002097   
0601LUA0N       20220101002230100000005000 0000000130002099   
0601LUA0N       20220101002235100000005000 0000000130002100   
0601LUA0N       20220101002240100000005000 0000000130002103   
0601LUA0N       20220101002245100000005000 0000000130002105   
0601LUA0N       20220101002250100000005000 0000000130002106   
0601LUA0N       20220101002255100000005000 0000000130002109   
0601LUA0N       20220101002260100000005000 0000000130002110   
0601LUA0N       20220101002265100000005000 0000000130002112   
0601LUA0N       20220101002270100000005000 0000000130002115   
0601LUA0N       20220101002275100000005000 0000000130002116   
0601LUA0N       20220101002280100000005000 0000000130002118   
0601LUA0N       20220101002285100000005000 0000000130002121   
0601LUA0N       20220101002290100000005000 0000000130002122   
0601LUA0N       20220101002295100000005000 0000000130002124   
0601LUA0N       20220101002300100000005000 0000000130002126   
