00SG               20211210                                                                                   
0601SGA0N       20220101001620100000005000 0000000050001966   
0601SGA0N       20220101001625100000005000 0000000050001968   
0601SGA0N       20220101001630100000005000 0000000050001970   
0601SGA0N       20220101001635100000005000 0000000050001974   
0601SGA0N       20220101001640100000005000 0000000050001976   
0601SGA0N       20220101001645100000005000 0000000050001978   
0601SGA0N       20220101001650100000005000 0000000050001982   
0601SGA0N       20220101001655100000005000 0000000050001984   
0601SGA0N       20220101001660100000005000 0000000050001986   
0601SGA0N       20220101001665100000005000 0000000050001990   
0601SGA0N       20220101001670100000005000 0000000050001992   
0601SGA0N       20220101001675100000005000 0000000050001994   
0601SGA0N       20220101001680100000005000 0000000050001998   
0601SGA0N       20220101001685100000005000 0000000050002000   
0601SGA0N       20220101001690100000005000 0000000050002002   
0601SGA0N       20220101001695100000005000 0000000050002005   
0601SGA0N       20220101001700100000005000 0000000050002007   
0601SGA0N       20220101001705100000005000 0000000050002009   
0601SGA0N       20220101001710100000005000 0000000050002013   
0601SGA0N       20220101001715100000005000 0000000050002014   
0601SGA0N       20220101001720100000005000 0000000050002016   
0601SGA0N       20220101001725100000005000 0000000050002020   
0601SGA0N       20220101001730100000005000 0000000050002022   
0601SGA0N       20220101001735100000005000 0000000050002024   
0601SGA0N       20220101001740100000005000 0000000050002027   
0601SGA0N       20220101001745100000005000 0000000050002029   
0601SGA0N       20220101001750100000005000 0000000050002031   
0601SGA0N       20220101001755100000005000 0000000050002032   
0601SGA0N       20220101001760100000005000 0000000050002036   
0601SGA0N       20220101001765100000005000 0000000050002038   
0601SGA0N       20220101001770100000005000 0000000050002040   
0601SGA0N       20220101001775100000005000 0000000050002044   
0601SGA0N       20220101001780100000005000 0000000050002046   
0601SGA0N       20220101001785100000005000 0000000050002048   
0601SGA0N       20220101001790100000005000 0000000050002052   
0601SGA0N       20220101001795100000005000 0000000050002055   
0601SGA0N       20220101001800100000005000 0000000050002057   
0601SGA0N       20220101001805100000005000 0000000050002061   
0601SGA0N       20220101001810100000005000 0000000050002063   
0601SGA0N       20220101001815100000005000 0000000050002065   
0601SGA0N       20220101001820100000005000 0000000050002069   
0601SGA0N       20220101001825100000005000 0000000050002071   
0601SGA0N       20220101001830100000005000 0000000050002073   
0601SGA0N       20220101001835100000005000 0000000050002077   
0601SGA0N       20220101001840100000005000 0000000050002079   
0601SGA0N       20220101001845100000005000 0000000050002081   
0601SGA0N       20220101001850100000005000 0000000050002084   
0601SGA0N       20220101001855100000005000 0000000050002087   
0601SGA0N       20220101001860100000005000 0000000050002089   
0601SGA0N       20220101001865100000005000 0000000050002092   
0601SGA0N       20220101001870100000005000 0000000050002094   
0601SGA0N       20220101001875100000005000 0000000050002096   
0601SGA0N       20220101001880100000005000 0000000050002100   
0601SGA0N       20220101001885100000005000 0000000050002102   
0601SGA0N       20220101001890100000005000 0000000050002104   
0601SGA0N       20220101001895100000005000 0000000050002106   
0601SGA0N       20220101001900100000005000 0000000050002109   
