00BL               20211111                                                                                   
0601BLA0N       20220101001865100000005000 0000000000002442   
0601BLA0N       20220101001870100000005000 0000000000002445   
0601BLA0N       20220101001875100000005000 0000000000002448   
0601BLA0N       20220101001880100000005000 0000000000002452   
0601BLA0N       20220101001885100000005000 0000000000002455   
0601BLA0N       20220101001890100000005000 0000000000002458   
0601BLA0N       20220101001895100000005000 0000000000002461   
0601BLA0N       20220101001900100000005000 0000000000002464   
0601BLA0N       20220101001905100000005000 0000000000002467   
0601BLA0N       20220101001910100000005000 0000000000002470   
0601BLA0N       20220101001915100000005000 0000000000002474   
0601BLA0N       20220101001920100000005000 0000000000002477   
0601BLA0N       20220101001925100000005000 0000000000002480   
0601BLA0N       20220101001930100000005000 0000000000002483   
0601BLA0N       20220101001935100000005000 0000000000002486   
0601BLA0N       20220101001940100000005000 0000000000002489   
0601BLA0N       20220101001945100000005000 0000000000002492   
0601BLA0N       20220101001950100000005000 0000000000002495   
0601BLA0N       20220101001955100000005000 0000000000002498   
0601BLA0N       20220101001960100000005000 0000000000002502   
0601BLA0N       20220101001965100000005000 0000000000002505   
0601BLA0N       20220101001970100000005000 0000000000002507   
0601BLA0N       20220101001975100000005000 0000000000002511   
0601BLA0N       20220101001980100000005000 0000000000002513   
0601BLA0N       20220101001985100000005000 0000000000002516   
0601BLA0N       20220101001990100000005000 0000000000002519   
0601BLA0N       20220101001995100000005000 0000000000002523   
0601BLA0N       20220101002000100000005000 0000000000002525   
0601BLA0N       20220101002005100000005000 0000000000002529   
0601BLA0N       20220101002010100000005000 0000000000002531   
0601BLA0N       20220101002015100000005000 0000000000002534   
0601BLA0N       20220101002020100000005000 0000000000002537   
0601BLA0N       20220101002025100000005000 0000000000002540   
0601BLA0N       20220101002030100000005000 0000000000002542   
0601BLA0N       20220101002035100000005000 0000000000002546   
0601BLA0N       20220101002040100000005000 0000000000002548   
0601BLA0N       20220101002045100000005000 0000000000002551   
0601BLA0N       20220101002050100000005000 0000000000002553   
0601BLA0N       20220101002055100000005000 0000000000002557   
0601BLA0N       20220101002060100000005000 0000000000002559   
0601BLA0N       20220101002065100000005000 0000000000002562   
0601BLA0N       20220101002070100000005000 0000000000002565   
0601BLA0N       20220101002075100000005000 0000000000002568   
0601BLA0N       20220101002080100000005000 0000000000002570   
0601BLA0N       20220101002085100000005000 0000000000002573   
0601BLA0N       20220101002090100000005000 0000000000002575   
0601BLA0N       20220101002095100000005000 0000000000002578   
0601BLA0N       20220101002100100000005000 0000000000002581   
0601BLA0N       20220101002105100000005000 0000000000002584   
0601BLA0N       20220101002110100000005000 0000000000002586   
0601BLA0N       20220101002115100000005000 0000000000002589   
0601BLA0N       20220101002120100000005000 0000000000002591   
0601BLA0N       20220101002125100000005000 0000000000002594   
0601BLA0N       20220101002130100000005000 0000000000002597   
0601BLA0N       20220101002135100000005000 0000000000002599   
0601BLA0N       20220101002140100000005000 0000000000002602   
0601BLA0N       20220101002145100000005000 0000000000002604   
0601BLA0N       20220101002150100000005000 0000000000002607   
0601BLA0N       20220101002155100000005000 0000000000002610   
0601BLA0N       20220101002160100000005000 0000000000002612   
0601BLA0N       20220101002165100000005000 0000000000002615   
0601BLA0N       20220101002170100000005000 0000000000002617   
0601BLA0N       20220101002175100000005000 0000000000002620   
0601BLA0N       20220101002180100000005000 0000000000002622   
0601BLA0N       20220101002185100000005000 0000000000002624   
0601BLA0N       20220101002190100000005000 0000000000002627   
0601BLA0N       20220101002195100000005000 0000000000002629   
0601BLA0N       20220101002200100000005000 0000000000002632   
0601BLA0N       20220101002205100000005000 0000000000002634   
0601BLA0N       20220101002210100000005000 0000000000002637   
0601BLA0N       20220101002215100000005000 0000000000002639   
0601BLA0N       20220101002220100000005000 0000000000002641   
0601BLA0N       20220101002225100000005000 0000000000002644   
0601BLA0N       20220101002230100000005000 0000000000002646   
0601BLA0N       20220101002235100000005000 0000000000002648   
0601BLA0N       20220101002240100000005000 0000000000002651   
0601BLA0N       20220101002245100000005000 0000000000002654   
0601BLA0N       20220101002250100000005000 0000000000002656   
0601BLA0N       20220101002255100000005000 0000000000002658   
0601BLA0N       20220101002260100000005000 0000000000002660   
0601BLA0N       20220101002265100000005000 0000000000002663   
