00VD               20220112                                                                                   
0601VDA0N       20220101001320100000005000 0000000000002096   
0601VDA0N       20220101001325100000005000 0000000000002102   
0601VDA0N       20220101001330100000005000 0000000000002106   
0601VDA0N       20220101001335100000005000 0000000000002111   
0601VDA0N       20220101001340100000005000 0000000000002117   
0601VDA0N       20220101001345100000005000 0000000000002121   
0601VDA0N       20220101001350100000005000 0000000000002125   
0601VDA0N       20220101001355100000005000 0000000000002131   
0601VDA0N       20220101001360100000005000 0000000000002136   
0601VDA0N       20220101001365100000005000 0000000000002139   
0601VDA0N       20220101001370100000005000 0000000000002145   
0601VDA0N       20220101001375100000005000 0000000000002149   
0601VDA0N       20220101001380100000005000 0000000000002154   
0601VDA0N       20220101001385100000005000 0000000000002160   
0601VDA0N       20220101001390100000005000 0000000000002165   
0601VDA0N       20220101001395100000005000 0000000000002169   
0601VDA0N       20220101001400100000005000 0000000000002176   
0601VDA0N       20220101001405100000005000 0000000000002181   
0601VDA0N       20220101001410100000005000 0000000000002185   
0601VDA0N       20220101001415100000005000 0000000000002191   
0601VDA0N       20220101001420100000005000 0000000000002195   
0601VDA0N       20220101001425100000005000 0000000000002200   
0601VDA0N       20220101001430100000005000 0000000000002206   
0601VDA0N       20220101001435100000005000 0000000000002210   
0601VDA0N       20220101001440100000005000 0000000000002214   
0601VDA0N       20220101001445100000005000 0000000000002221   
0601VDA0N       20220101001450100000005000 0000000000002225   
0601VDA0N       20220101001455100000005000 0000000000002229   
0601VDA0N       20220101001460100000005000 0000000000002232   
0601VDA0N       20220101001465100000005000 0000000000002239   
0601VDA0N       20220101001470100000005000 0000000000002243   
0601VDA0N       20220101001475100000005000 0000000000002246   
0601VDA0N       20220101001480100000005000 0000000000002253   
0601VDA0N       20220101001485100000005000 0000000000002256   
0601VDA0N       20220101001490100000005000 0000000000002260   
0601VDA0N       20220101001495100000005000 0000000000002266   
0601VDA0N       20220101001500100000005000 0000000000002270   
0601VDA0N       20220101001505100000005000 0000000000002274   
0601VDA0N       20220101001510100000005000 0000000000002280   
